0,7,Internets,-36,2412,0.6239,1.183
0,12,Internets,-39,2412,0.8813,2.075
0,123,Internets,-39,2412,0.8813,2.013
0,153,Internets,-35,2412,0.5561,2.829
0,156,Internets,-23,2412,0.1397,4.368
0,127,Internets,-35,2412,0.5561,6.029
0,93,Internets,-34,2412,0.4956,7.446
0,102,Internets,-44,2412,1.567,7.645
0,82,Internets,-46,2412,1.973,8.179
0,82,Internets,-54,2412,4.956,8.203
0,25,Internets,-52,2412,3.937,8.344
0,177,Internets,-53,2412,4.417,7.852
0,7,Internets,-57,2412,7,8.527
0,71,Internets,-61,2412,11.09,9.09
0,121,Internets,-64,2412,15.67,9.026
0,5,Internets,-59,2412,8.813,10.1
0,142,Internets,-53,2412,4.417,11.17
1,3,Internets2,-24,2427,0.1558,1.115
0,129,Internets,-58,2412,7.855,11.24
1,3,Internets2,-26,2427,0.1961,1.422
0,136,Internets,-69,2412,27.87,10.81
1,179,Internets2,-21,2427,0.1103,1.251
0,38,Internets,-56,2412,6.239,10.92
1,161,Internets2,-28,2427,0.2468,2.547
0,27,Internets,-58,2412,7.855,9.963
1,118,Internets2,-31,2427,0.3487,3.77
0,18,Internets,-68,2412,24.84,8.894
1,91,Internets2,-38,2427,0.7806,4.099
0,61,Internets,-56,2412,6.239,8.078
1,99,Internets2,-44,2427,1.558,4.363
0,64,Internets,-54,2412,4.956,7.581
1,169,Internets2,-48,2427,2.468,4.655
0,15,Internets,-57,2412,7,7.342
1,77,Internets2,-53,2427,4.39,5.448
0,96,Internets,-49,2412,2.787,6.532
1,74,Internets2,-54,2427,4.925,5.519
0,113,Internets,-51,2412,3.509,6.791
1,94,Internets2,-53,2427,4.39,5.443
0,105,Internets,-52,2412,3.937,7.431
1,158,Internets2,-46,2427,1.961,5.932
0,64,Internets,-41,2412,1.109,7.741
1,141,Internets2,-45,2427,1.748,7.614
0,98,Internets,-49,2412,2.787,7.336
1,124,Internets2,-52,2427,3.912,8.957
1,77,Internets2,-59,2427,8.759,9.747
0,0,Internets,-56,2412,6.239,9.257
1,86,Internets2,-60,2427,9.827,9.648
0,170,Internets,-58,2412,7.855,8.85
1,145,Internets2,-58,2427,7.806,9.621
0,63,Internets,-64,2412,15.67,9.141
1,151,Internets2,-56,2427,6.201,9.645
0,69,Internets,-73,2412,44.17,9.155
1,133,Internets2,-57,2427,6.957,9.572
0,137,Internets,-62,2412,12.45,8.872
1,121,Internets2,-57,2427,6.957,9.645
0,152,Internets,-56,2412,6.239,8.893
1,124,Internets2,-54,2427,4.925,9.58
0,148,Internets,-62,2412,12.45,8.954
1,24,Internets2,-55,2427,5.526,9.983
0,101,Internets,-56,2412,6.239,9.09
1,15,Internets2,-59,2427,8.759,9.835
0,60,Internets,-57,2412,7,9.158
1,4,Internets2,-60,2427,9.827,9.196
0,88,Internets,-56,2412,6.239,7.861
1,8,Internets2,-59,2427,8.759,7.87
0,114,Internets,-57,2412,7,7.559
1,1,Internets2,-52,2427,3.912,5.85
0,127,Internets,-57,2412,7,7.94
1,7,Internets2,-48,2427,2.468,4.095
0,131,Internets,-46,2412,1.973,9.493
1,11,Internets2,-39,2427,0.8759,2.855
0,128,Internets,-58,2412,7.855,10.92
1,18,Internets2,-39,2427,0.8759,2.503
0,111,Internets,-56,2412,6.239,12.07
1,4,Internets2,-42,2427,1.237,2.781
0,54,Internets,-61,2412,11.09,12.77
1,29,Internets2,-45,2427,1.748,3.126
0,7,Internets,-66,2412,19.73,13.36
1,146,Internets2,-42,2427,1.237,3.474
0,97,Internets,-66,2412,19.73,13.24
1,155,Internets2,-46,2427,1.961,4.178
0,140,Internets,-67,2412,22.14,13.51
1,90,Internets2,-45,2427,1.748,4.793
0,145,Internets,-65,2412,17.58,14.39
1,100,Internets2,-45,2427,1.748,5.334
0,80,Internets,-59,2412,8.813,16.21
1,20,Internets2,-52,2427,3.912,5.563
0,4,Internets,-67,2412,22.14,16.36
1,45,Internets2,-52,2427,3.912,5.182
0,15,Internets,-65,2412,17.58,15.64
1,75,Internets2,-46,2427,1.961,4.769
0,33,Internets,-66,2412,19.73,14.4
1,78,Internets2,-48,2427,2.468,4.985
0,25,Internets,-58,2412,7.855,13.6
1,38,Internets2,-47,2427,2.2,4.78
0,1,Internets,-61,2412,11.09,14.84
1,61,Internets2,-46,2427,1.961,4.857
0,17,Internets,-67,2412,22.14,14.15
1,65,Internets2,-47,2427,2.2,5.072
0,12,Internets,-69,2412,27.87,13.44
1,68,Internets2,-52,2427,3.912,5.484
0,4,Internets,-62,2412,12.45,12.67
1,4,Internets2,-55,2427,5.526,5.878
0,76,Internets,-69,2412,27.87,12.26
1,50,Internets2,-54,2427,4.925,5.707
0,127,Internets,-62,2412,12.45,12.05
1,126,Internets2,-56,2427,6.201,5.391
0,145,Internets,-60,2412,9.888,11.84
1,124,Internets2,-51,2427,3.487,5.421
0,150,Internets,-62,2412,12.45,11.83
1,4,Internets2,-54,2427,4.925,5.482
0,64,Internets,-56,2412,6.239,12.67
1,23,Internets2,-54,2427,4.925,5.058
0,84,Internets,-64,2412,15.67,13.44
1,2,Internets2,-51,2427,3.487,4.113
0,56,Internets,-64,2412,15.67,13.69
1,12,Internets2,-46,2427,1.961,2.873
0,40,Internets,-64,2412,15.67,12.96
1,123,Internets2,-41,2427,1.103,2.466
0,23,Internets,-70,2412,31.27,11.48
1,172,Internets2,-35,2427,0.5526,3.808
0,33,Internets,-59,2412,8.813,9.613
1,123,Internets2,-35,2427,0.5526,5.182
0,3,Internets,-48,2412,2.484,8.281
1,132,Internets2,-45,2427,1.748,5.344
0,10,Internets,-54,2412,4.956,7.478
1,96,Internets2,-51,2427,3.487,5.314
0,62,Internets,-48,2412,2.484,6.894
1,176,Internets2,-46,2427,1.961,6.542
0,15,Internets,-55,2412,5.561,5.615
1,165,Internets2,-51,2427,3.487,8.308
0,12,Internets,-47,2412,2.214,3.978
1,148,Internets2,-49,2427,2.77,9.762
0,1,Internets,-39,2412,0.8813,2.588
1,140,Internets2,-53,2427,4.39,11.12
0,4,Internets,-37,2412,0.7,1.43
1,64,Internets2,-59,2427,8.759,11.4
0,41,Internets,-42,2412,1.245,1.341
1,3,Internets2,-61,2427,11.03,11.41
0,87,Internets,-35,2412,0.5561,1.27
1,47,Internets2,-61,2427,11.03,11.34
0,165,Internets,-42,2412,1.245,1.261
1,110,Internets2,-59,2427,8.759,11.18
0,76,Internets,-41,2412,1.109,1.323
1,179,Internets2,-60,2427,9.827,11.08
0,29,Internets,-41,2412,1.109,1.427
1,144,Internets2,-57,2427,6.957,11.14
0,8,Internets,-36,2412,0.6239,1.441
1,138,Internets2,-57,2427,6.957,11.16
0,6,Internets,-39,2412,0.8813,1.447
1,108,Internets2,-59,2427,8.759,11.81
0,130,Internets,-41,2412,1.109,1.441
1,71,Internets2,-58,2427,7.806,12.25
0,1,Internets,-37,2412,0.7,2.232
1,25,Internets2,-66,2427,19.61,12.61
0,39,Internets,-40,2412,0.9888,2.466
