0,0.1539,1.021,-1.096,0.9736,Internets,-40,2412,
0,0.09176,1.072,-1.739,0.9955,Internets,-35,2412,
0,-0.0195,1.062,-2.17,0.9729,Internets,-47,2412,
0,-0.1715,1.06,-2.65,0.9711,Internets,-37,2412,
0,-0.4129,1.072,-2.984,0.9166,Internets,-38,2412,
0,-0.8869,1.062,-3.181,0.9457,Internets,-38,2412,
0,-1.127,1.063,-3.388,0.9664,Internets,-45,2412,
0,-1.097,1.041,-3.84,0.9772,Internets,-46,2412,
0,-1.273,1.035,-4.161,0.9651,Internets,-43,2412,
0,-1.455,1.032,-4.24,0.717,Internets,-45,2412,
0,-1.057,1.042,-4.307,0.4871,Internets,-52,2412,
0,-0.6214,1.038,-4.379,0.389,Internets,-34,2412,
0,-0.8197,1.041,-4.294,0.3664,Internets,-32,2412,
0,-1.781,1.029,-4.617,0.2889,Internets,-34,2412,
0,-2.796,1.049,-5.38,0.288,Internets,-37,2412,
0,-3.824,1.032,-6.04,0.4199,Internets,-39,2412,
0,-4.746,0.9056,-5.907,0.4613,Internets,-43,2412,
0,-5.38,0.2887,-5.686,0.3444,Internets,-62,2412,
0,-5.936,-0.1651,-5.292,0.1218,Internets,-51,2412,
0,-6.674,-0.3489,-5.35,0.3006,Internets,-54,2412,
0,-7.341,-0.4255,-6.45,0.906,Internets,-59,2412,
0,-7.257,-0.3942,-7.213,0.2731,Internets,-68,2412,
0,-6.421,-0.4345,-8.224,0.07201,Internets,-62,2412,
0,-6.406,-0.4559,-8.563,0.1138,Internets,-56,2412,
1,0.7777,-0.759,0.8064,0.9331,Internets2,-30,2432,
0,-6.63,-0.4801,-8.477,0.1521,Internets,-59,2412,
1,1.034,-0.6581,0.8442,0.5561,Internets2,-30,2432,
0,-6.373,-0.3794,-8.439,0.459,Internets,-66,2412,
1,0.3771,-0.6383,1.743,0.3762,Internets2,-24,2432,
0,-7.032,-0.359,-7.541,0.4267,Internets,-69,2412,
1,-0.5079,-0.6397,2.453,0.3739,Internets2,-28,2432,
0,-7.918,-0.3592,-6.832,0.2792,Internets,-69,2412,
1,-1.53,-0.6277,2.518,0.265,Internets2,-40,2432,
0,-8.94,-0.3458,-6.769,0.2641,Internets,-61,2412,
